# OECD Entrepreneurship Financing DB, 'Venture capital investments
# (market statistics)', dataflow DSD_VC@DF_VC_INV. Total stage only,
# % of GDP and absolute US$ (millions). Accessed 2026-06-24.
country,stage,unit,year,value
Bulgaria,Start-up and other early stage,"US dollars, exchange rate converted",2007,0.0
Bulgaria,Start-up and other early stage,Percentage of GDP,2007,0.0
Croatia,Start-up and other early stage,"US dollars, exchange rate converted",2008,0.0
Croatia,Start-up and other early stage,Percentage of GDP,2008,0.0
Croatia,Total,"US dollars, exchange rate converted",2009,0.0
Croatia,Start-up and other early stage,Percentage of GDP,2009,0.0
Croatia,Total,Percentage of GDP,2009,0.0
Croatia,Start-up and other early stage,"US dollars, exchange rate converted",2009,0.0
Romania,Start-up and other early stage,"US dollars, exchange rate converted",2011,0.0
Romania,Start-up and other early stage,Percentage of GDP,2011,0.0
Romania,Start-up and other early stage,"US dollars, exchange rate converted",2013,0.0
Romania,Start-up and other early stage,Percentage of GDP,2013,0.0
Romania,Start-up and other early stage,"US dollars, exchange rate converted",2015,0.0
Romania,Start-up and other early stage,Percentage of GDP,2015,0.0
Australia,Seed,"US dollars, exchange rate converted",2010,0.0
Australia,Seed,Percentage of GDP,2010,0.0
Australia,Seed,Percentage of GDP,2011,0.0
Australia,Seed,"US dollars, exchange rate converted",2011,0.0
Hungary,Seed,Percentage of GDP,2025,0.0
Hungary,Seed,"US dollars, exchange rate converted",2025,0.0
Latvia,Later stage venture,"US dollars, exchange rate converted",2025,0.0
Latvia,Later stage venture,Percentage of GDP,2025,0.0
Lithuania,Later stage venture,Percentage of GDP,2008,0.0
Lithuania,Later stage venture,"US dollars, exchange rate converted",2008,0.0
Lithuania,Start-up and other early stage,"US dollars, exchange rate converted",2008,0.0
Lithuania,Seed,Percentage of GDP,2008,0.0
Lithuania,Total,Percentage of GDP,2008,0.0
Lithuania,Seed,"US dollars, exchange rate converted",2008,0.0
Lithuania,Start-up and other early stage,Percentage of GDP,2008,0.0
Lithuania,Total,"US dollars, exchange rate converted",2008,0.0
Slovak Republic,Later stage venture,Percentage of GDP,2025,0.0
Slovak Republic,Later stage venture,"US dollars, exchange rate converted",2025,0.0
Bulgaria,Start-up and other early stage,Percentage of GDP,2024,0.0
Bulgaria,Start-up and other early stage,"US dollars, exchange rate converted",2024,0.0
Canada,Seed,"US dollars, exchange rate converted",2014,124.18572203034373
Canada,Later stage venture,"US dollars, exchange rate converted",2019,1585.500020892477
Finland,Later stage venture,Percentage of GDP,2017,0.0204358895224083
Finland,Start-up and other early stage,Percentage of GDP,2017,0.038020030543454
Japan,Total,"US dollars, exchange rate converted",2015,1109.5136603853905
Japan,Total,"US dollars, exchange rate converted",2016,1367.7363130462852
Japan,Total,"US dollars, exchange rate converted",2017,1678.7597236290694
Japan,Total,"US dollars, exchange rate converted",2018,2285.751972625642
Japan,Total,"US dollars, exchange rate converted",2019,2502.530374235373
Japan,Total,"US dollars, exchange rate converted",2020,2074.463747005251
Japan,Total,"US dollars, exchange rate converted",2021,3031.3156544521244
Japan,Total,"US dollars, exchange rate converted",2022,2449.464296013889
Japan,Total,"US dollars, exchange rate converted",2023,1900.476257115016
Korea,Total,"US dollars, exchange rate converted",2024,2622.3159438892453
New Zealand,Total,"US dollars, exchange rate converted",2024,355.62369887707337
United States,Seed,"US dollars, exchange rate converted",2007,225.598945
United States,Later stage venture,Percentage of GDP,2014,0.1697259400366353
United States,Start-up and other early stage,Percentage of GDP,2014,0.1287196409507013
United States,Seed,"US dollars, exchange rate converted",2014,4303.276096143
United States,Total,Percentage of GDP,2014,0.3228847130303897
United States,Later stage venture,"US dollars, exchange rate converted",2014,29885.577743448
United States,Seed,Percentage of GDP,2014,0.024439132043053
United States,Total,"US dollars, exchange rate converted",2014,56853.985851295
United States,Start-up and other early stage,"US dollars, exchange rate converted",2014,22665.132011704
United States,Start-up and other early stage,"US dollars, exchange rate converted",2015,26619.175049294
United States,Total,"US dollars, exchange rate converted",2015,62843.30996873201
United States,Seed,Percentage of GDP,2015,0.0298918228125043
United States,Later stage venture,"US dollars, exchange rate converted",2015,30755.420256444
United States,Total,Percentage of GDP,2015,0.3434995611031177
United States,Seed,"US dollars, exchange rate converted",2015,5468.714662994
United States,Start-up and other early stage,Percentage of GDP,2015,0.1454995758643049
